Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,Mozambique,3/22/20,1,0,0
,Papua New Guinea,3/22/20,1,0,0
,Saint Vincent and the Grenadines,3/22/20,1,0,0
Sint Maarten,Netherlands,3/22/20,1,0,0
,Somalia,3/22/20,1,0,0
,Syria,3/22/20,1,0,0
,Timor-Leste,3/22/20,1,0,0
,Uganda,3/22/20,1,0,0
District of Columbia,US,3/22/20,102,2,0
Chongqing,China,3/22/20,577,6,570
Gansu,China,3/22/20,136,2,114
Sichuan,China,3/22/20,543,3,536
,Russia,3/23/20,2,0,0
,Philippines,3/23/20,2,1,0
,Italy,3/23/20,2,0,0
British Columbia,Canada,3/23/20,2,0,0
South Australia,Australia,3/23/20,2,0,0
Victoria,Australia,3/23/20,4,0,0
New South Wales,Australia,3/23/20,4,0,2
Queensland,Australia,3/23/20,5,0,0
,UK,3/23/20,8,0,0
Macau,Macau,3/23/20,10,0,1
,France,3/23/20,11,0,2
,Vietnam,3/23/20,16,0,7
,Germany,3/23/20,16,0,1
Taiwan,Taiwan,3/23/20,18,0,2
Taiwan,Taiwan,3/23/20,20,1,2
,Malaysia,3/23/20,22,0,7
,Thailand,3/23/20,35,0,15
Ningxia,Mainland China,3/23/20,71,0,44
Inner Mongolia,Mainland China,3/23/20,75,0,17
Xinjiang,Mainland China,3/23/20,76,2,25
Jilin,Mainland China,3/23/20,91,1,54
Jilin,Mainland China,3/23/20,93,1,60
Liaoning,Mainland China,3/23/20,121,1,83
Tianjin,Mainland China,3/23/20,135,3,96
Guizhou,Mainland China,3/23/20,146,2,112
Hainan,Mainland China,3/23/20,168,5,133
Yunnan,Mainland China,3/23/20,174,2,157
Shaanxi,Mainland China,3/23/20,245,1,208
Guangxi,Mainland China,3/23/20,252,2,192
,Japan,3/23/20,293,6,43
Hebei,Mainland China,3/23/20,318,6,301
,France,3/23/20,377,6,12
Heilongjiang,Mainland China,3/23/20,481,13,396
Sichuan,Mainland China,3/23/20,539,3,454
Jiangsu,Mainland China,3/23/20,631,0,612
Diamond Princess cruise ship,Others,3/23/20,696,6,40
Shandong,Mainland China,3/23/20,758,6,719
Jiangxi,China,3/23/20,935,1,932
Anhui,China,3/23/20,990,6,984
Sichuan,China,3/23/20,539,3,503
Henan,China,3/23/20,1273,22,1250
Guangdong,China,3/23/20,1360,8,1304
,Switzerland,3/23/20,2200,14,4
France,France,3/23/20,7652,148,12
France,France,3/23/20,9043,148,12
,Germany,3/23/20,15320,44,113
,Germany,3/23/20,19848,67,180
,Spain,3/23/20,25374,1375,2125
South Carolina,US,3/23/20,298,5,0
Louisiana,US,3/23/20,1172,35,0
Virginia,US,3/23/20,254,6,0
Idaho,US,3/23/20,68,0,0
Iowa,US,3/23/20,105,0,0
Kentucky,US,3/23/20,123,4,0
Missouri,US,3/23/20,187,4,0
Oklahoma,US,3/23/20,81,2,0
Colorado,US,3/23/20,686,7,0
Illinois,US,3/23/20,1285,12,0
Indiana,US,3/23/20,270,7,0
Mississippi,US,3/23/20,249,1,0
Nebraska,US,3/23/20,51,0,0
North Dakota,US,3/23/20,30,0,0
Ohio,US,3/23/20,443,6,0
Pennsylvania,US,3/23/20,698,6,0
Washington,US,3/23/20,2221,109,0
Wisconsin,US,3/23/20,425,5,0
Vermont,US,3/23/20,75,5,0
Minnesota,US,3/23/20,234,1,0
Florida,US,3/23/20,1227,18,0
North Carolina,US,3/23/20,353,0,0
California,US,3/23/20,2108,39,0
New York,US,3/23/20,20884,158,0
Wyoming,US,3/23/20,26,0,0
Michigan,US,3/23/20,1329,15,0
Alaska,US,3/23/20,30,0,0
Maryland,US,3/23/20,290,3,0
Kansas,US,3/23/20,84,2,0
Tennessee,US,3/23/20,614,2,0
Texas,US,3/23/20,758,9,0
Maine,US,3/23/20,107,0,0
Arizona,US,3/23/20,235,2,0
Georgia,US,3/23/20,772,25,0
Arkansas,US,3/23/20,192,0,0
New Jersey,US,3/23/20,2844,27,0
South Dakota,US,3/23/20,28,1,0
Alabama,US,3/23/20,196,0,0
Oregon,US,3/23/20,191,5,0
West Virginia,US,3/23/20,16,0,0
Massachusetts,US,3/23/20,777,9,0
Utah,US,3/23/20,257,1,0
Montana,US,3/23/20,34,0,0
New Hampshire,US,3/23/20,101,1,0
New Mexico,US,3/23/20,83,0,0
Rhode Island,US,3/23/20,106,0,0
Nevada,US,3/23/20,245,4,0
District of Columbia,US,3/23/20,120,2,0
Connecticut,US,3/23/20,415,10,0
Hawaii,US,3/23/20,56,0,0
Delaware,US,3/23/20,68,0,0
Wuhan Evacuee,US,3/23/20,4,0,0
Alberta,Canada,3/23/20,301,1,0
American Samoa,US,3/23/20,0,0,0
Aruba,Netherlands,3/23/20,9,0,1
Australian Capital Territory,Australia,3/23/20,32,0,0
Beijing,China,3/23/20,537,8,401
Bermuda,United Kingdom,3/23/20,6,0,0
British Columbia,Canada,3/23/20,472,13,0
Cayman Islands,United Kingdom,3/23/20,5,1,0
Channel Islands,United Kingdom,3/23/20,36,0,0
Curacao,Netherlands,3/23/20,4,1,0
Diamond Princess,Canada,3/23/20,0,1,0
Diamond Princess,Cruise Ship,3/23/20,712,8,567
Diamond Princess,US,3/23/20,49,0,0
Faroe Islands,Denmark,3/23/20,118,0,23
French Guiana,France,3/23/20,20,0,6
French Polynesia,France,3/23/20,19874,860,2200
Fujian,China,3/23/20,313,1,295
Gibraltar,United Kingdom,3/23/20,15,0,5
Grand Princess,Canada,3/23/20,13,0,0
Grand Princess,US,3/23/20,28,1,0
Greenland,Denmark,3/23/20,4,0,0
Guadeloupe,France,3/23/20,62,1,0
Guam,US,3/23/20,29,1,0
Guangdong,China,3/23/20,1415,8,1332
Hebei,China,3/23/20,319,6,310
Heilongjiang,China,3/23/20,484,13,465
Henan,China,3/23/20,1274,22,1250
Hong Kong,China,3/23/20,356,4,100
Hubei,China,3/23/20,67800,3153,59882
Isle of Man,United Kingdom,3/23/20,13,0,0
Jiangsu,China,3/23/20,633,0,631
Jiangxi,China,3/23/20,936,1,934
Liaoning,China,3/23/20,127,2,124
Macau,China,3/23/20,24,0,10
Manitoba,Canada,3/23/20,20,0,0
Martinique,France,3/23/20,53,1,0
Mayotte,France,3/23/20,24,0,0
Montserrat,United Kingdom,3/23/20,1,0,0
New Brunswick,Canada,3/23/20,17,0,0
New Caledonia,France,3/23/20,8,0,0
New South Wales,Australia,3/23/20,669,6,4
Newfoundland and Labrador,Canada,3/23/20,24,0,0
Northern Mariana Islands,US,3/23/20,0,0,0
Northern Territory,Australia,3/23/20,5,0,0
Nova Scotia,Canada,3/23/20,41,0,0
Ontario,Canada,3/23/20,503,6,0
Prince Edward Island,Canada,3/23/20,3,0,0
Puerto Rico,US,3/23/20,31,2,0
Quebec,Canada,3/23/20,628,4,0
Queensland,Australia,3/23/20,319,0,8
Reunion,France,3/23/20,71,0,1
Saint Barthelemy,France,3/23/20,3,0,0
Saskatchewan,Canada,3/23/20,66,0,0
Shandong,China,3/23/20,768,7,752
Shanghai,China,3/23/20,404,4,329
Sint Maarten,Netherlands,3/23/20,2,0,0
South Australia,Australia,3/23/20,134,0,6
St Martin,France,3/23/20,8,0,0
Tasmania,Australia,3/23/20,28,0,3
Tianjin,China,3/23/20,141,3,133
Victoria,Australia,3/23/20,355,0,97
Virgin Islands,US,3/23/20,7,0,0
Western Australia,Australia,3/23/20,140,1,1
Zhejiang,China,3/23/20,1238,1,1221
,Afghanistan,3/23/20,40,1,1
,Albania,3/23/20,104,4,2
,Algeria,3/23/20,230,17,65
,Andorra,3/23/20,133,1,1
,Angola,3/23/20,3,0,0
,Antigua and Barbuda,3/23/20,3,0,0
,Argentina,3/23/20,266,4,27
,Armenia,3/23/20,235,0,2
,Austria,3/23/20,4474,21,9
,Azerbaijan,3/23/20,72,1,10
,Bahamas,3/23/20,4,0,0
,Bahrain,3/23/20,377,2,164
,Bangladesh,3/23/20,33,3,5
,Barbados,3/23/20,17,0,0
,Belarus,3/23/20,81,0,22
,Belgium,3/23/20,3743,88,401
,Belize,3/23/20,1,0,0
,Benin,3/23/20,5,0,0
,Bhutan,3/23/20,2,0,0
,Bolivia,3/23/20,27,0,0
,Bosnia and Herzegovina,3/23/20,132,1,2
,Brazil,3/23/20,1924,34,2
,Brunei,3/23/20,91,0,2
,Bulgaria,3/23/20,201,3,3
,Burkina Faso,3/23/20,99,4,5
,Cabo Verde,3/23/20,3,0,0
,Cambodia,3/23/20,87,0,2
,Cameroon,3/23/20,56,0,2
,Central African Republic,3/23/20,3,0,0
,Chad,3/23/20,1,0,0
,Chile,3/23/20,746,2,11
,Colombia,3/23/20,277,3,3
,Congo (Brazzaville),3/23/20,4,0,0
,Congo (Kinshasa),3/23/20,36,1,0
,Costa Rica,3/23/20,158,2,2
,Cote d'Ivoire,3/23/20,25,0,2
,Croatia,3/23/20,315,1,5
,Cuba,3/23/20,40,1,0
,Cyprus,3/23/20,116,1,3
,Czechia,3/23/20,1236,1,7
,Denmark,3/23/20,1450,24,1
,Djibouti,3/23/20,3,0,0
,Dominica,3/23/20,2,0,0
,Dominican Republic,3/23/20,245,3,3
,Ecuador,3/23/20,981,18,3
,Egypt,3/23/20,366,19,68
,El Salvador,3/23/20,3,0,0
,Equatorial Guinea,3/23/20,9,0,0
,Eritrea,3/23/20,1,0,0
,Estonia,3/23/20,352,0,4
,Eswatini,3/23/20,4,0,0
,Ethiopia,3/23/20,11,0,0
,Fiji,3/23/20,3,0,0
,Finland,3/23/20,700,1,10
,Gabon,3/23/20,5,1,0
,Gambia,3/23/20,2,1,0
,Georgia,3/23/20,61,0,8
,Germany,3/23/20,29056,123,453
,Ghana,3/23/20,27,2,0
,Greece,3/23/20,695,17,29
,Grenada,3/23/20,1,0,0
,Guatemala,3/23/20,20,1,0
,Guinea,3/23/20,4,0,0
,Guyana,3/23/20,20,1,0
,Haiti,3/23/20,6,0,0
,Holy See,3/23/20,1,0,0
,Honduras,3/23/20,27,0,0
,Hungary,3/23/20,167,7,16
,Iceland,3/23/20,588,1,51
,India,3/23/20,499,10,34
,Indonesia,3/23/20,579,49,30
,Iran,3/23/20,23049,1812,8376
,Iraq,3/23/20,266,23,62
,Ireland,3/23/20,1125,6,5
,Israel,3/23/20,1442,1,41
,Italy,3/23/20,63927,6077,7432
,Jamaica,3/23/20,19,1,2
,Japan,3/23/20,1128,42,235
,Jordan,3/23/20,127,0,1
,Kazakhstan,3/23/20,62,0,0
,Kenya,3/23/20,16,0,0
,"Korea, South",3/23/20,8961,111,3166
,Kuwait,3/23/20,189,0,30
,Kyrgyzstan,3/23/20,16,0,0
,Latvia,3/23/20,180,0,1
,Lebanon,3/23/20,267,4,8
,Liberia,3/23/20,3,0,0
,Liechtenstein,3/23/20,51,0,0
,Lithuania,3/23/20,179,1,1
,Luxembourg,3/23/20,875,8,6
,Madagascar,3/23/20,12,0,0
,Malaysia,3/23/20,1518,14,159
,Maldives,3/23/20,13,0,5
,Malta,3/23/20,107,0,2
,Mauritania,3/23/20,2,0,0
,Mauritius,3/23/20,36,2,0
,Mexico,3/23/20,316,3,4
,Moldova,3/23/20,109,1,2
,Monaco,3/23/20,23,0,1
,Mongolia,3/23/20,10,0,0
,Montenegro,3/23/20,27,1,0
,Morocco,3/23/20,143,4,5
,Mozambique,3/23/20,1,0,0
,Namibia,3/23/20,4,0,0
,Nepal,3/23/20,2,0,1
,Netherlands,3/23/20,4749,213,2
,New Zealand,3/23/20,102,0,0
,Nicaragua,3/23/20,2,0,0
,Niger,3/23/20,3,0,0
,Nigeria,3/23/20,40,1,2
,North Macedonia,3/23/20,136,2,1
,Norway,3/23/20,2621,10,6
,Oman,3/23/20,66,0,17
,Pakistan,3/23/20,875,6,13
,Panama,3/23/20,313,3,1
,Papua New Guinea,3/23/20,1,0,0
,Paraguay,3/23/20,22,1,0
,Peru,3/23/20,395,5,1
,Philippines,3/23/20,462,33,18
,Poland,3/23/20,749,8,13
,Portugal,3/23/20,2060,23,14
,Qatar,3/23/20,501,0,33
,Romania,3/23/20,576,7,73
,Russia,3/23/20,438,1,17
,Rwanda,3/23/20,36,0,0
,Saint Lucia,3/23/20,3,0,0
,Saint Vincent and the Grenadines,3/23/20,1,0,0
,San Marino,3/23/20,187,20,4
,Saudi Arabia,3/23/20,562,0,19
,Senegal,3/23/20,79,0,8
,Serbia,3/23/20,249,3,3
,Seychelles,3/23/20,7,0,0
,Singapore,3/23/20,509,2,152
,Slovakia,3/23/20,186,0,7
,Slovenia,3/23/20,442,3,0
,Somalia,3/23/20,1,0,0
,South Africa,3/23/20,402,0,4
,Spain,3/23/20,35136,2311,3355
,Sri Lanka,3/23/20,97,0,2
,Sudan,3/23/20,2,1,0
,Suriname,3/23/20,5,0,0
,Sweden,3/23/20,2046,25,16
,Switzerland,3/23/20,8795,120,131
,Syria,3/23/20,1,0,0
,Taiwan*,3/23/20,195,2,28
,Tanzania,3/23/20,12,0,0
,Thailand,3/23/20,721,1,52
,Timor-Leste,3/23/20,1,0,0
,Togo,3/23/20,18,0,0
,Trinidad and Tobago,3/23/20,51,0,0
,Tunisia,3/23/20,89,3,1
,Turkey,3/23/20,1529,37,0
,Uganda,3/23/20,9,0,0
,Ukraine,3/23/20,73,3,1
,United Arab Emirates,3/23/20,198,2,41
,United Kingdom,3/23/20,6650,335,135
,Uruguay,3/23/20,158,0,0
,Uzbekistan,3/23/20,46,0,0
,Venezuela,3/23/20,77,0,15
,Vietnam,3/23/20,123,0,17
,Zambia,3/23/20,3,0,0
,Zimbabwe,3/23/20,3,1,0
Chongqing,China,3/23/20,578,6,570
Hebei,China,3/23/20,319,6,310
Henan,China,3/23/20,1274,22,1250
Jiangxi,China,3/23/20,936,1,934
Liaoning,China,3/23/20,127,2,124
Shandong,China,3/23/20,768,7,752
Shanxi,China,3/23/20,134,0,133
Chongqing,China,3/23/20,578,6,570
Hebei,China,3/23/20,319,6,310
Henan,China,3/23/20,1274,22,1250
Jiangxi,China,3/23/20,936,1,934
Liaoning,China,3/23/20,127,2,124
Shanxi,China,3/23/20,134,0,133
Chongqing,China,3/23/20,578,6,570
Hebei,China,3/23/20,319,6,310
Jiangxi,China,3/23/20,936,1,934
Chongqing,China,3/23/20,578,6,570
Hebei,China,3/23/20,319,6,310
Jiangxi,China,3/23/20,936,1,934
Chongqing,China,3/23/20,578,6,570
Hebei,China,3/23/20,319,6,310
Jiangxi,China,3/23/20,936,1,934
Hebei,China,3/23/20,319,6,310
,UK,3/24/20,2,0,0
,Russia,3/24/20,2,0,0
,Philippines,3/24/20,2,1,0
"Toronto, ON",Canada,3/24/20,2,0,0
British Columbia,Canada,3/24/20,2,0,0
British Columbia,Canada,3/24/20,4,0,0
Victoria,Australia,3/24/20,4,0,0
New South Wales,Australia,3/24/20,4,0,2
,United Arab Emirates,3/24/20,8,0,0
,UK,3/24/20,8,0,0
Macau,Macau,3/24/20,10,0,2
,France,3/24/20,11,0,2
,Vietnam,3/24/20,16,0,7
,Germany,3/24/20,16,0,1
Qinghai,Mainland China,3/24/20,18,0,13
Taiwan,Taiwan,3/24/20,22,1,2
,South Korea,3/24/20,31,0,12
Hong Kong,Hong Kong,3/24/20,68,2,6
Ningxia,Mainland China,3/24/20,71,0,48
Inner Mongolia,Mainland China,3/24/20,75,0,26
,Singapore,3/24/20,89,0,51
Gansu,Mainland China,3/24/20,91,2,80
,Iran,3/24/20,95,16,0
Shanxi,Mainland China,3/24/20,133,0,104
Tianjin,Mainland China,3/24/20,136,3,102
Guizhou,Mainland China,3/24/20,146,2,112
Hainan,Mainland China,3/24/20,168,5,148
Yunnan,Mainland China,3/24/20,174,2,163
Shaanxi,Mainland China,3/24/20,245,1,216
Guangxi,Mainland China,3/24/20,252,2,202
Fujian,Mainland China,3/24/20,296,1,270
,Japan,3/24/20,360,6,43
Beijing,Mainland China,3/24/20,422,8,299
,Spain,3/24/20,500,10,30
Chongqing,Mainland China,3/24/20,576,6,527
Jiangsu,Mainland China,3/24/20,631,0,621
Diamond Princess cruise ship,Others,3/24/20,696,6,40
Shandong,China,3/24/20,760,6,726
Jiangxi,China,3/24/20,935,1,934
Heilongjiang,China,3/24/20,482,13,446
Zhejiang,China,3/24/20,1227,1,1211
Henan,China,3/24/20,1273,22,1250
United Kingdom,United Kingdom,3/24/20,1543,55,20
,Switzerland,3/24/20,2700,27,4
,"Korea, South",3/24/20,8413,84,1540
France,France,3/24/20,10871,243,12
,Iran,3/24/20,19644,1433,6745
,Germany,3/24/20,22213,84,233
South Carolina,US,3/24/20,342,5,0
Louisiana,US,3/24/20,1388,46,0
Virginia,US,3/24/20,293,9,0
Idaho,US,3/24/20,81,0,0
Iowa,US,3/24/20,124,0,0
Kentucky,US,3/24/20,162,4,0
Missouri,US,3/24/20,257,7,0
Oklahoma,US,3/24/20,106,3,0
Colorado,US,3/24/20,723,8,0
Illinois,US,3/24/20,1537,16,0
Indiana,US,3/24/20,368,12,0
Mississippi,US,3/24/20,320,1,0
Nebraska,US,3/24/20,66,0,0
North Dakota,US,3/24/20,36,0,0
Ohio,US,3/24/20,567,8,0
Pennsylvania,US,3/24/20,946,8,0
Washington,US,3/24/20,2328,116,0
Wisconsin,US,3/24/20,481,5,0
Vermont,US,3/24/20,95,7,0
Minnesota,US,3/24/20,261,1,0
Florida,US,3/24/20,1412,18,0
North Carolina,US,3/24/20,495,0,0
California,US,3/24/20,2538,50,0
New York,US,3/24/20,25681,210,0
Wyoming,US,3/24/20,29,0,0
Michigan,US,3/24/20,1793,24,0
Alaska,US,3/24/20,34,0,0
Maryland,US,3/24/20,249,4,0
Kansas,US,3/24/20,100,2,0
Tennessee,US,3/24/20,772,2,0
Texas,US,3/24/20,955,12,0
Maine,US,3/24/20,118,0,0
Arizona,US,3/24/20,326,5,0
Georgia,US,3/24/20,1026,32,0
Arkansas,US,3/24/20,219,2,0
New Jersey,US,3/24/20,3675,44,0
South Dakota,US,3/24/20,30,1,0
Alabama,US,3/24/20,242,0,0
Oregon,US,3/24/20,210,8,0
West Virginia,US,3/24/20,22,0,0
Massachusetts,US,3/24/20,1159,11,0
Utah,US,3/24/20,298,1,0
Montana,US,3/24/20,51,0,0
New Hampshire,US,3/24/20,101,1,0
New Mexico,US,3/24/20,100,0,0
Rhode Island,US,3/24/20,124,0,0
Nevada,US,3/24/20,278,4,0
District of Columbia,US,3/24/20,141,2,0
Connecticut,US,3/24/20,618,12,0
Hawaii,US,3/24/20,90,0,0
Delaware,US,3/24/20,104,0,0
Wuhan Evacuee,US,3/24/20,4,0,0
Alberta,Canada,3/24/20,359,1,0
American Samoa,US,3/24/20,0,0,0
Aruba,Netherlands,3/24/20,12,0,1
Australian Capital Territory,Australia,3/24/20,39,0,0
Beijing,China,3/24/20,558,8,401
Bermuda,United Kingdom,3/24/20,6,0,0
British Columbia,Canada,3/24/20,617,13,0
Cayman Islands,United Kingdom,3/24/20,6,1,0
Channel Islands,United Kingdom,3/24/20,36,0,0
Curacao,Netherlands,3/24/20,6,1,0
Diamond Princess,Canada,3/24/20,0,1,0
Diamond Princess,US,3/24/20,49,0,0
Faroe Islands,Denmark,3/24/20,122,0,33
French Guiana,France,3/24/20,23,0,6
French Polynesia,France,3/24/20,25,0,0
Fujian,China,3/24/20,318,1,295
Gansu,China,3/24/20,136,2,119
Gibraltar,United Kingdom,3/24/20,15,0,5
Grand Princess,Canada,3/24/20,13,0,0
Grand Princess,US,3/24/20,28,1,0
Greenland,Denmark,3/24/20,5,0,2
Guadeloupe,France,3/24/20,62,1,0
Guam,US,3/24/20,32,1,0
Guangdong,China,3/24/20,1428,8,1333
Hainan,China,3/24/20,168,6,168
Heilongjiang,China,3/24/20,484,13,468
Hong Kong,China,3/24/20,386,4,101
Hubei,China,3/24/20,67801,3160,60324
Isle of Man,United Kingdom,3/24/20,23,0,0
Jiangsu,China,3/24/20,636,0,631
Macau,China,3/24/20,25,0,10
Manitoba,Canada,3/24/20,21,0,0
Martinique,France,3/24/20,57,1,0
Mayotte,France,3/24/20,36,0,0
Montserrat,United Kingdom,3/24/20,1,0,0
New Brunswick,Canada,3/24/20,18,0,0
New Caledonia,France,3/24/20,10,0,0
New South Wales,Australia,3/24/20,818,7,4
Newfoundland and Labrador,Canada,3/24/20,35,0,0
Northern Mariana Islands,US,3/24/20,0,0,0
Northern Territory,Australia,3/24/20,6,0,0
Nova Scotia,Canada,3/24/20,51,0,0
Ontario,Canada,3/24/20,588,7,0
Prince Edward Island,Canada,3/24/20,3,0,0
Puerto Rico,US,3/24/20,39,2,0
Quebec,Canada,3/24/20,1013,4,0
Queensland,Australia,3/24/20,397,0,8
Recovered,Canada,3/24/20,0,0,110
Reunion,France,3/24/20,94,0,1
Saint Barthelemy,France,3/24/20,3,0,0
Saskatchewan,Canada,3/24/20,72,0,0
Shaanxi,China,3/24/20,249,3,240
Shanghai,China,3/24/20,414,4,330
Sichuan,China,3/24/20,545,3,536
Sint Maarten,Netherlands,3/24/20,2,0,0
South Australia,Australia,3/24/20,170,0,6
St Martin,France,3/24/20,8,0,0
Tasmania,Australia,3/24/20,28,0,3
Tianjin,China,3/24/20,145,3,133
Victoria,Australia,3/24/20,411,0,97
Virgin Islands,US,3/24/20,17,0,0
Western Australia,Australia,3/24/20,175,1,1
Zhejiang,China,3/24/20,1240,1,1221
,Afghanistan,3/24/20,74,1,1
,Albania,3/24/20,123,5,10
,Algeria,3/24/20,264,19,24
,Andorra,3/24/20,164,1,1
,Angola,3/24/20,3,0,0
,Antigua and Barbuda,3/24/20,3,0,0
,Argentina,3/24/20,387,6,52
,Armenia,3/24/20,249,0,14
,Austria,3/24/20,5283,28,9
,Azerbaijan,3/24/20,87,1,10
,Bahamas,3/24/20,5,0,1
,Bahrain,3/24/20,392,3,177
,Bangladesh,3/24/20,39,4,5
,Barbados,3/24/20,18,0,0
,Belarus,3/24/20,81,0,22
,Belgium,3/24/20,4269,122,461
,Belize,3/24/20,1,0,0
,Benin,3/24/20,6,0,0
,Bhutan,3/24/20,2,0,0
,Bolivia,3/24/20,29,0,0
,Bosnia and Herzegovina,3/24/20,166,3,2
,Brazil,3/24/20,2247,46,2
,Brunei,3/24/20,104,0,2
,Bulgaria,3/24/20,218,3,3
,Burkina Faso,3/24/20,114,4,7
,Cabo Verde,3/24/20,3,1,0
,Cambodia,3/24/20,91,0,4
,Cameroon,3/24/20,66,0,2
,Central African Republic,3/24/20,3,0,0
,Chad,3/24/20,3,0,0
,Chile,3/24/20,922,2,17
,Colombia,3/24/20,378,3,6
,Congo (Brazzaville),3/24/20,4,0,0
,Congo (Kinshasa),3/24/20,45,2,0
,Costa Rica,3/24/20,177,2,2
,Cote d'Ivoire,3/24/20,73,0,2
,Croatia,3/24/20,382,1,5
,Cuba,3/24/20,48,1,1
,Cyprus,3/24/20,124,3,3
,Czechia,3/24/20,1394,3,10
,Denmark,3/24/20,1591,32,1
,Djibouti,3/24/20,3,0,0
,Dominica,3/24/20,2,0,0
,Dominican Republic,3/24/20,312,6,3
,Ecuador,3/24/20,1082,27,3
,Egypt,3/24/20,402,20,80
,El Salvador,3/24/20,5,0,0
,Equatorial Guinea,3/24/20,9,0,0
,Eritrea,3/24/20,1,0,0
,Estonia,3/24/20,369,0,7
,Eswatini,3/24/20,4,0,0
,Ethiopia,3/24/20,12,0,0
,Fiji,3/24/20,4,0,0
,Finland,3/24/20,792,1,10
,France,3/24/20,22304,1100,3281
,Gabon,3/24/20,6,1,0
,Gambia,3/24/20,3,1,0
,Georgia,3/24/20,70,0,9
,Germany,3/24/20,32986,157,3243
,Ghana,3/24/20,53,2,0
,Greece,3/24/20,743,20,29
,Grenada,3/24/20,1,0,0
,Guatemala,3/24/20,21,1,0
,Guinea,3/24/20,4,0,0
,Guyana,3/24/20,5,1,0
,Haiti,3/24/20,7,0,0
,Holy See,3/24/20,4,0,0
,Honduras,3/24/20,30,0,0
,Hungary,3/24/20,187,9,21
,Iceland,3/24/20,648,2,51
,India,3/24/20,536,10,40
,Indonesia,3/24/20,686,55,30
,Iran,3/24/20,24811,1934,8913
,Iraq,3/24/20,316,27,75
,Ireland,3/24/20,1329,7,5
,Israel,3/24/20,1930,3,53
,Italy,3/24/20,69176,6820,8326
,Jamaica,3/24/20,21,1,2
,Japan,3/24/20,1193,43,285
,Jordan,3/24/20,154,0,1
,Kazakhstan,3/24/20,72,0,0
,Kenya,3/24/20,25,0,0
,"Korea, South",3/24/20,9037,120,3507
,Kuwait,3/24/20,191,0,39
,Kyrgyzstan,3/24/20,42,0,0
,Laos,3/24/20,2,0,0
,Latvia,3/24/20,197,0,1
,Lebanon,3/24/20,318,4,8
,Liberia,3/24/20,3,0,0
,Libya,3/24/20,1,0,0
,Liechtenstein,3/24/20,51,0,0
,Lithuania,3/24/20,209,2,1
,Luxembourg,3/24/20,1099,8,6
,Madagascar,3/24/20,17,0,0
,Malaysia,3/24/20,1624,16,183
,Maldives,3/24/20,13,0,5
,Malta,3/24/20,110,0,2
,Mauritania,3/24/20,2,0,0
,Mauritius,3/24/20,42,2,0
,Mexico,3/24/20,367,4,4
,Moldova,3/24/20,125,1,2
,Monaco,3/24/20,23,0,1
,Mongolia,3/24/20,10,0,0
,Montenegro,3/24/20,47,1,0
,Morocco,3/24/20,170,5,6
,Mozambique,3/24/20,3,0,0
,Namibia,3/24/20,7,0,2
,Nepal,3/24/20,2,0,1
,Netherlands,3/24/20,5560,276,2
,New Zealand,3/24/20,155,0,12
,Nicaragua,3/24/20,2,0,0
,Niger,3/24/20,3,0,0
,Nigeria,3/24/20,44,1,2
,North Macedonia,3/24/20,148,2,1
,Norway,3/24/20,2863,12,6
,Oman,3/24/20,84,0,17
,Pakistan,3/24/20,972,7,18
,Panama,3/24/20,345,6,1
,Papua New Guinea,3/24/20,1,0,0
,Paraguay,3/24/20,27,2,0
,Peru,3/24/20,416,7,1
,Philippines,3/24/20,552,35,20
,Poland,3/24/20,901,10,1
,Portugal,3/24/20,2362,33,22
,Qatar,3/24/20,526,0,41
,Romania,3/24/20,794,11,79
,Russia,3/24/20,495,1,22
,Rwanda,3/24/20,40,0,0
,Saint Lucia,3/24/20,3,0,0
,Saint Vincent and the Grenadines,3/24/20,1,0,0
,San Marino,3/24/20,187,21,4
,Saudi Arabia,3/24/20,767,1,28
,Senegal,3/24/20,86,0,8
,Serbia,3/24/20,303,3,15
,Seychelles,3/24/20,7,0,0
,Singapore,3/24/20,558,2,156
,Slovakia,3/24/20,204,0,7
,Slovenia,3/24/20,480,4,3
,Somalia,3/24/20,1,0,0
,South Africa,3/24/20,554,0,4
,Spain,3/24/20,39885,2808,3794
,Sri Lanka,3/24/20,102,0,2
,Sudan,3/24/20,3,1,0
,Suriname,3/24/20,7,0,0
,Sweden,3/24/20,2286,36,16
,Switzerland,3/24/20,9877,122,131
,Syria,3/24/20,1,0,0
,Taiwan*,3/24/20,215,2,29
,Tanzania,3/24/20,12,0,0
,Thailand,3/24/20,827,4,52
,Timor-Leste,3/24/20,1,0,0
,Togo,3/24/20,20,0,1
,Trinidad and Tobago,3/24/20,57,0,0
,Tunisia,3/24/20,114,4,1
,Turkey,3/24/20,1872,44,0
,Uganda,3/24/20,9,0,0
,Ukraine,3/24/20,97,3,1
,United Arab Emirates,3/24/20,248,2,45
,United Kingdom,3/24/20,8077,422,135
,Uruguay,3/24/20,162,0,0
,Uzbekistan,3/24/20,50,0,0
,Venezuela,3/24/20,84,0,15
,Vietnam,3/24/20,134,0,17
,Zambia,3/24/20,3,0,0
,Zimbabwe,3/24/20,3,1,0
Gansu,China,3/24/20,136,2,119
Hainan,China,3/24/20,168,6,168
Heilongjiang,China,3/24/20,484,13,468
Tianjin,China,3/24/20,145,3,133
Hainan,China,3/24/20,168,6,168
Hainan,China,3/24/20,168,6,168
Hainan,China,3/24/20,168,6,168
